header_stamp_sec, header_stamp_nanosec, header_frame_id, runner_detected, x, y, phi, vx_b, ax_b, relative_distance_to_airshield_x, relative_distance_to_airshield_y, relative_speed_to_airshield_x, relative_acceleration_to_airshield_x, stamp_lidar_sec, stamp_lidar_nanosec, stamp_zed_sec, stamp_zed_nanosec
1707133528,178353567,base_link,False,-5.501598572041237,0.0,0.0,5.501598572041237,0.015335371183860233,5.500771292534923,0.0,0.005900500969979322,0.059292875566128764,1707133528,66862402,0,0
1707133528,228431413,base_link,False,-5.500771292534923,0.0,0.0,5.500771292534923,0.019220894882359556,5.503376915030564,0.0,-0.033150173613267886,-0.07830428434939397,1707133528,116885070,0,0
1707133528,278376844,base_link,False,-5.503376915030564,0.0,0.0,5.503376915030564,-0.09651624669404296,5.507726089043744,0.0,-0.07369979473266694,-0.19827934443385373,1707133528,166865340,0,0
1707133528,328488253,base_link,False,-5.507726089043744,0.0,0.0,5.507726089043744,0.004323972892419606,5.499152447023263,0.0,0.0930267520550849,0.38020569391726144,1707133528,216876836,0,0
1707133528,378456052,base_link,False,-5.499152447023263,0.0,0.0,5.499152447023263,0.2356190888682596,5.498110757341644,0.0,0.054342172041765585,0.19125914215298573,1707133528,266851415,0,0
1707133528,428390057,base_link,False,-5.498110757341644,0.0,0.0,5.498110757341644,0.016304592139676777,5.5018346200202535,0.0,-0.030443283093640222,-0.11772515389515836,1707133528,316993131,0,0
1707133528,478458189,base_link,False,-5.5018346200202535,0.0,0.0,5.5018346200202535,-0.009127141913374402,5.496236164938135,0.0,0.0663199285606022,0.2184445099335096,1707133528,366888268,0,0
1707133528,528444245,base_link,False,-5.496236164938135,0.0,0.0,5.496236164938135,0.09396650079293317,5.496172585122917,0.0,0.02744867230082189,0.05537442170913562,1707133528,416972021,0,0
1707133528,578401181,base_link,False,-5.496172585122917,0.0,0.0,5.496172585122917,-0.003907581703510292,5.502788056058495,0.0,-0.0835807470072014,-0.3173063416987886,1707133528,466893566,0,0
1707133528,628491887,base_link,False,-5.502788056058495,0.0,0.0,5.502788056058495,-0.16402891102983658,5.499943638406526,0.0,0.005354651024074841,0.02590849801791889,1707133528,516877873,0,0
1707133528,678472669,base_link,False,-5.499943638406526,0.0,0.0,5.499943638406526,0.0028230788041890844,5.49854496250878,0.0,0.022166015381256583,0.07672208900952548,1707133528,566947040,0,0
1707133528,728509715,base_link,False,-5.49854496250878,0.0,0.0,5.49854496250878,-0.12134245881714655,5.494337953641234,0.0,0.06841349897004778,0.2156163196164405,1707133528,616890875,0,0
1707133528,778404992,base_link,False,-5.494337953641234,0.0,0.0,5.494337953641234,0.17470560473832258,5.504198973077012,0.0,-0.11220193446532908,-0.41119269588421364,1707133528,666890135,0,0
1707133528,828361329,base_link,False,-5.504198973077012,0.0,0.0,5.504198973077012,-0.10725068495088429,5.493273384332386,0.0,0.1080466650477021,0.3774370329165127,1707133528,716894596,0,0
1707133528,878382960,base_link,False,-5.493273384332386,0.0,0.0,5.493273384332386,0.01657596803785291,5.495023040439059,0.0,0.019240791627397585,0.02480019156815333,1707133528,766892708,0,0
1707133528,928401740,base_link,False,-5.495023040439059,0.0,0.0,5.495023040439059,0.06485606521505356,5.504743119828051,0.0,-0.13083041841707888,-0.4707332208958641,1707133528,816901564,0,0
1707133528,978479948,base_link,False,-5.504743119828051,0.0,0.0,5.504743119828051,-0.09280780333831877,5.505162158049823,0.0,-0.05958288760851388,-0.16032177781980012,1707133528,866861276,0,0
1707133529,28410579,base_link,False,-5.505162158049823,0.0,0.0,5.505162158049823,-0.10547708538869263,5.507003130418367,0.0,-0.04869306348209687,-0.0984062660909745,1707133528,916904899,0,0
1707133529,78474475,base_link,False,-5.507003130418367,0.0,0.0,5.507003130418367,-0.028895014854200117,5.503884043984778,0.0,0.026564539827658704,0.16417067118547854,1707133528,966872372,0,0
1707133529,128407962,base_link,False,-5.503884043984778,0.0,0.0,5.503884043984778,-0.019881768363368427,5.499377167044185,0.0,0.07676964890832685,0.30170644964120863,1707133529,16881222,0,0
1707133529,178392902,base_link,False,-5.499377167044185,0.0,0.0,5.499377167044185,0.026161953736116163,5.502229752943649,0.0,-0.007975727258282245,-0.025231941929065194,1707133529,66862331,0,0
1707133529,228392202,base_link,False,-5.502229752943649,0.0,0.0,5.502229752943649,-0.10921368114544427,5.499806987711151,0.0,0.031059506993718164,0.10673729603857485,1707133529,116961218,0,0
1707133529,278361029,base_link,False,-5.499806987711151,0.0,0.0,5.499806987711151,-0.0069184321071606575,5.501647924738292,0.0,-0.013423405118180111,-0.056418906943818486,1707133529,166855910,0,0
1707133529,328354989,base_link,False,-5.501647924738292,0.0,0.0,5.501647924738292,-0.07862560077754172,5.507007164692737,0.0,-0.0814621934720885,-0.27000267409080925,1707133529,216874607,0,0
1707133529,378480346,base_link,False,-5.507007164692737,0.0,0.0,5.507007164692737,-0.030101809326951855,5.50395816808943,0.0,0.010396589058176642,0.07504023432976231,1707133529,266845723,0,0
1707133529,428355094,base_link,False,-5.50395816808943,0.0,0.0,5.50395816808943,-0.023184956965054522,5.500290968561834,0.0,0.057276970657863996,0.2162825582995036,1707133529,316845990,0,0
1707133529,478454577,base_link,False,-5.500290968561834,0.0,0.0,5.500290968561834,0.13013230176716362,5.5035314114085505,0.0,-0.0219438601343602,-0.07857548620262295,1707133529,367018798,0,0
1707133529,528455987,base_link,False,-5.5035314114085505,0.0,0.0,5.5035314114085505,-0.1990473487035336,5.497962803370934,0.0,0.06966183656707109,0.23429306740689781,1707133529,416855331,0,0
