header_stamp_sec, header_stamp_nanosec, header_frame_id, x, y, phi, vx_b, ax_b, steer, torque, stamp_zed_sec, stamp_zed_nanosec, stamp_wheel_encoder_sec, stamp_wheel_encoder_nanosec
1707133528,179127034,base_link,0.0,0.0,0.0,0.0,0.05254898438373179,0.0,0.0,0,0,0,0
1707133528,189143083,base_link,0.0,0.0,0.0,0.0,-0.037597732758392184,0.0,0.0,0,0,0,0
1707133528,199218827,base_link,0.0,0.0,0.0,0.0,0.023231596877819356,0.0,0.0,0,0,0,0
1707133528,209323492,base_link,0.0,0.0,0.0,0.0,-0.009699330138886731,0.0,0.0,0,0,0,0
1707133528,219272028,base_link,0.0,0.0,0.0,0.0,-0.06336607308077508,0.0,0.0,0,0,0,0
1707133528,229234238,base_link,0.0,0.0,0.0,0.0,0.05010772323500638,0.0,0.0,0,0,0,0
1707133528,239748885,base_link,0.0,0.0,0.0,0.0,0.2106810877487591,0.0,0.0,0,0,0,0
1707133528,249142877,base_link,0.0,0.0,0.0,0.0,0.043681656651255084,0.0,0.0,0,0,0,0
1707133528,259173646,base_link,0.0,0.0,0.0,0.0,0.07692626661249026,0.0,0.0,0,0,0,0
1707133528,269157964,base_link,0.0,0.0,0.0,0.0,0.07802376762508655,0.0,0.0,0,0,0,0
1707133528,279105791,base_link,0.0,0.0,0.0,0.0,0.03199074934912593,0.0,0.0,0,0,0,0
1707133528,289164633,base_link,0.0,0.0,0.0,0.0,0.0020977190372907972,0.0,0.0,0,0,0,0
1707133528,299144230,base_link,0.0,0.0,0.0,0.0,0.03973108433381307,0.0,0.0,0,0,0,0
1707133528,309172341,base_link,0.0,0.0,0.0,0.0,-0.0578334796704047,0.0,0.0,0,0,0,0
1707133528,319126048,base_link,0.0,0.0,0.0,0.0,0.1425923368131747,0.0,0.0,0,0,0,0
1707133528,329162591,base_link,0.0,0.0,0.0,0.0,0.011207394950564215,0.0,0.0,0,0,0,0
1707133528,339158607,base_link,0.0,0.0,0.0,0.0,-0.004858181686606577,0.0,0.0,0,0,0,0
1707133528,349143734,base_link,0.0,0.0,0.0,0.0,-0.05504959208928968,0.0,0.0,0,0,0,0
